🎯央视（武汉）酒店线路,#genre#
CCTV1,http://59.173.243.210:9901/tsfile/live/0001_1.m3u8
CCTV1,http://113.57.103.216:9000/tsfile/live/0001_1.m3u8

CCTV2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8
CCTV2,http://113.57.103.216:9000/tsfile/live/0002_1.m3u8

CCTV3,http://59.173.243.210:9901/tsfile/live/0003_1.m3u8
CCTV3,http://113.57.103.216:9000/tsfile/live/0003_1.m3u8

CCTV4,http://59.173.243.210:9901/tsfile/live/1004_1.m3u8
CCTV4,http://113.57.103.216:9000/tsfile/live/0004_1.m3u8

CCTV5,http://59.173.243.210:9901/tsfile/live/1005_1.m3u8
CCTV5,http://113.57.103.216:9000/tsfile/live/0005_1.m3u8

CCTV5+,http://59.173.243.210:9901/tsfile/live/1021_1.m3u8
CCTV6,http://59.173.243.210:9901/tsfile/live/1006_1.m3u8
CCTV6,http://113.57.103.216:9000/tsfile/live/0006_1.m3u8

CCTV7,http://59.173.243.210:9901/tsfile/live/1007_1.m3u8
CCTV7,http://113.57.103.216:9000/tsfile/live/0007_1.m3u8

CCTV8,http://59.173.243.210:9901/tsfile/live/1008_1.m3u8
CCTV8,http://113.57.103.216:9000/tsfile/live/0008_1.m3u8

CCTV9,http://59.173.243.210:9901/tsfile/live/1009_1.m3u8
CCTV9,http://113.57.103.216:9000/tsfile/live/0009_1.m3u8

CCTV10,http://59.173.243.210:9901/tsfile/live/1010_1.m3u8
CCTV10,http://113.57.103.216:9000/tsfile/live/0010_1.m3u8

CCTV11,http://59.173.243.210:9901/tsfile/live/1011_1.m3u8
CCTV11,http://113.57.103.216:9000/tsfile/live/0011_1.m3u8

CCTV12,http://59.173.243.210:9901/tsfile/live/0012_1.m3u8
CCTV12,http://113.57.103.216:9000/tsfile/live/0012_1.m3u8

CCTV13,http://59.173.243.210:9901/tsfile/live/1013_1.m3u8
CCTV13,http://113.57.103.216:9000/tsfile/live/0013_1.m3u8

CCTV14,http://59.173.243.210:9901/tsfile/live/0014_1.m3u8
CCTV14,http://113.57.103.216:9000/tsfile/live/0014_1.m3u8

CCTV15,http://59.173.243.210:9901/tsfile/live/1015_1.m3u8
CCTV15,http://113.57.103.216:9000/tsfile/live/0015_1.m3u8

CCTV16,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8
CCTV17,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8



🎯央视（广东）酒店线路,#genre#
CCTV1,http://183.236.13.168:808/hls/1/index.m3u8
CCTV2,http://183.236.13.168:808/hls/2/index.m3u8
CCTV3,http://183.236.13.168:808/hls/3/index.m3u8
CCTV4,http://183.236.13.168:808/hls/4/index.m3u8
CCTV5,http://183.236.13.168:808/hls/5/index.m3u8
CCTV5+,http://183.236.13.168:808/hls/76/index.m3u8
CCTV6,http://183.236.13.168:808/hls/6/index.m3u8
CCTV7,http://183.236.13.168:808/hls/7/index.m3u8
CCTV8,http://183.236.13.168:808/hls/8/index.m3u8
CCTV9,http://183.236.13.168:808/hls/9/index.m3u8
CCTV10,http://183.236.13.168:808/hls/10/index.m3u8
CCTV11,http://183.236.13.168:808/hls/11/index.m3u8
CCTV12,http://183.236.13.168:808/hls/12/index.m3u8
CCTV13,http://183.236.13.168:808/hls/13/index.m3u8
CCTV14,http://183.236.13.168:808/hls/14/index.m3u8
CCTV15,http://183.236.13.168:808/hls/15/index.m3u8
CCTV16,http://183.236.13.168:808/hls/16/index.m3u8
CCTV17,http://183.236.13.168:808/hls/17/index.m3u8
CETV2,http://183.236.13.168:808/hls/74/index.m3u8
CETV4,http://183.236.13.168:808/hls/75/index.m3u8
兵器科技,http://183.236.13.168:808/hls/91/index.m3u8
怀旧剧场,http://183.236.13.168:808/hls/98/index.m3u8
风云剧场,http://183.236.13.168:808/hls/99/index.m3u8
央视精品,http://183.236.13.168:808/hls/100/index.m3u8

🎯卫视（武汉）酒店线路,#genre#
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯http://playtv-live.ifeng.com/live/06OLEEWQKN4.flv#rtmp://playtv-live.ifeng.com/live/06OLEEWQKN4
湖北卫视,http://59.173.243.210:9901/tsfile/live/1018_1.m3u8
湖北卫视,http://113.57.103.216:9000/tsfile/live/0132_1.m3u8

深圳卫视,http://59.173.243.210:9901/tsfile/live/1027_1.m3u8

黑龙江卫视,http://113.57.103.216:9000/tsfile/live/1008_1.m3u8

湖南卫视,http://59.173.243.210:9901/tsfile/live/1022_1.m3u8
湖南卫视,http://113.57.103.216:9000/tsfile/live/0128_1.m3u8

广东卫视,http://59.173.243.210:9901/tsfile/live/1017_1.m3u8
广东卫视,http://113.57.103.216:9000/tsfile/live/0125_1.m3u8


北京卫视,http://59.173.243.210:9901/tsfile/live/1026_1.m3u8

东方卫视,http://59.173.243.210:9901/tsfile/live/1039_1.m3u8
东方卫视,http://113.57.103.216:9000/tsfile/live/0107_1.m3u8

浙江卫视,http://59.173.243.210:9901/tsfile/live/1024_1.m3u8
浙江卫视,http://113.57.103.216:9000/tsfile/live/0124_1.m3u8

江苏卫视,http://59.173.243.210:9901/tsfile/live/1023_1.m3u8
江苏卫视,http://113.57.103.216:9000/tsfile/live/0127_1.m3u8

天津卫视,http://59.173.243.210:9901/tsfile/live/0135_1.m3u8
山东卫视,http://59.173.243.210:9901/tsfile/live/1030_1.m3u8

安徽卫视,http://59.173.243.210:9901/tsfile/live/1025_1.m3u8
安徽卫视,http://113.57.103.216:9000/tsfile/live/0130_1.m3u8

辽宁卫视,http://59.173.243.210:9901/tsfile/live/1029_1.m3u8
辽宁卫视,http://113.57.103.216:9000/tsfile/live/0121_1.m3u8

东南卫视,http://59.173.243.210:9901/tsfile/live/1033_1.m3u8
东南卫视,http://113.57.103.216:9000/tsfile/live/0137_1.m3u8

江西卫视,http://59.173.243.210:9901/tsfile/live/0138_1.m3u8
江西卫视,http://113.57.103.216:9000/tsfile/live/0138_1.m3u8

重庆卫视,http://59.173.243.210:9901/tsfile/live/1032_1.m3u8
重庆卫视,http://113.57.103.216:9000/tsfile/live/0142_1.m3u8

海南卫视,http://59.173.243.210:9901/tsfile/live/1040_1.m3u8

河南卫视,http://59.173.243.210:9901/tsfile/live/1035_1.m3u8
河南卫视,http://113.57.103.216:9000/tsfile/live/1006_1.m3u8

四川卫视,http://59.173.243.210:9901/tsfile/live/1037_1.m3u8
四川卫视,http://113.57.103.216:9000/tsfile/live/0123_1.m3u8

广西卫视,http://113.57.103.216:9000/tsfile/live/1004_1.m3u8

吉林卫视,http://59.173.243.210:9901/tsfile/live/0116_1.m3u8
吉林卫视,http://113.57.103.216:9000/tsfile/live/1007_1.m3u8

宁夏卫视,http://113.57.103.216:9000/tsfile/live/1003_1.m3u8

山西卫视,http://113.57.103.216:9000/tsfile/live/1009_1.m3u8

云南卫视,http://113.57.103.216:9000/tsfile/live/1010_1.m3u8

贵州卫视,
天津卫视,
新疆卫视,
西藏卫视,
内蒙古卫视,
青海卫视,
甘肃卫视,
陕西卫视,
兵团卫视,
三沙卫视,
旅游卫视,http://113.57.103.216:9000/tsfile/live/1005_1.m3u8

🎯卫视（广东）酒店线路,#genre#
深圳卫视,http://120.77.205.62:8087/udp/239.77.1.175:5146
广东卫视,http://116.25.243.162:18888/udp/239.77.1.19:5146
广东卫视,http://116.25.243.162:18888/udp/239.77.1.152:5146
广东卫视,http://116.25.243.162:18888/udp/239.77.0.84:5146
广东卫视,http://116.25.243.162:18888/udp/239.77.0.166:5146
湖南卫视,http://183.236.13.168:808/hls/20/index.m3u8
湖北卫视,http://183.236.13.168:808/hls/22/index.m3u8
北京卫视,http://183.236.13.168:808/hls/35/index.m3u8
安徽卫视,http://183.236.13.168:808/hls/34/index.m3u8
东方卫视,http://183.236.13.168:808/hls/26/index.m3u8
东南卫视,http://183.236.13.168:808/hls/31/index.m3u8
甘肃卫视,http://183.236.13.168:808/hls/49/index.m3u8
广西卫视,http://183.236.13.168:808/hls/27/index.m3u8
贵州卫视,http://183.236.13.168:808/hls/33/index.m3u8
海南卫视,http://183.236.13.168:808/hls/45/index.m3u8
河北卫视,http://183.236.13.168:808/hls/29/index.m3u8
河南卫视,http://183.236.13.168:808/hls/38/index.m3u8
黑龙江卫视,http://183.236.13.168:808/hls/50/index.m3u8
江苏卫视,http://183.236.13.168:808/hls/25/index.m3u8
江西卫视,http://183.236.13.168:808/hls/36/index.m3u8
辽宁卫视,http://183.236.13.168:808/hls/28/index.m3u8
宁夏卫视,http://183.236.13.168:808/hls/46/index.m3u8
山东卫视,http://183.236.13.168:808/hls/24/index.m3u8
山西卫视,http://183.236.13.168:808/hls/41/index.m3u8
陕西卫视,http://183.236.13.168:808/hls/40/index.m3u8
四川卫视,http://183.236.13.168:808/hls/32/index.m3u8
天津卫视,http://183.236.13.168:808/hls/23/index.m3u8
西藏卫视,http://183.236.13.168:808/hls/47/index.m3u8
新疆卫视,http://183.236.13.168:808/hls/48/index.m3u8
浙江卫视,http://183.236.13.168:808/hls/21/index.m3u8
云南卫视,http://183.236.13.168:808/hls/39/index.m3u8
重庆卫视,http://183.236.13.168:808/hls/30/index.m3u8
兵团卫视,http://183.236.13.168:808/hls/51/index.m3u8
内蒙古卫视,http://183.236.13.168:808/hls/43/index.m3u8
青海卫视,http://183.236.13.168:808/hls/44/index.m3u8
厦门卫视,http://183.236.13.168:808/hls/70/index.m3u8
三沙卫视,http://183.236.13.168:808/hls/71/index.m3u8
吉林卫视,http://183.236.13.168:808/hls/72/index.m3u8
延边卫视,http://183.236.13.168:808/hls/73/index.m3u8
🎯广东酒店线路,#genre#
广东公共,http://183.236.13.168:808/hls/54/index.m3u8
广东嘉佳卡通,
广东经济科教,http://183.236.13.168:808/hls/57/index.m3u8
广东南方卫视,http://183.236.13.168:808/hls/19/index.m3u8
广东体育,http://183.236.13.168:808/hls/55/index.m3u8
广东新闻,http://183.236.13.168:808/hls/53/index.m3u8
广东影视,http://183.236.13.168:808/hls/58/index.m3u8
广东国际,http://183.236.13.168:808/hls/56/index.m3u8
广东少儿,http://183.236.13.168:808/hls/59/index.m3u8
广东移动,http://183.236.13.168:808/hls/62/index.m3u8
都市剧场,
汕头文旅体育高清,
汕头文旅体育高清,

汕头综合,
汕头综合,
汕头经济生活,
汕头经济生活
揭阳综合,
潮州综合,
广东珠江,http://116.25.243.162:18888/udp/239.77.0.1:5146
广东珠江,http://116.25.243.162:18888/udp/239.77.0.114:5146
🎯湖北酒店线路,#genre#

湖北公共新闻,http://59.173.243.210:9901/tsfile/live/1034_1.m3u8

湖北公共新闻,http://221.232.105.110:8880/rtp/239.69.1.40:9880
湖北经视,http://59.173.243.210:9901/tsfile/live/1019_1.m3u8
湖北经视,http://113.57.103.216:9000/tsfile/live/1017_1.m3u8

湖北经视,http://221.232.105.110:8880/rtp/239.69.1.41:9886

湖北垄上,http://59.173.243.210:9901/tsfile/live/1031_1.m3u8
湖北垄上,http://113.57.103.216:9000/tsfile/live/1015_1.m3u8

湖北影视,http://59.173.243.210:9901/tsfile/live/1000_1.m3u8
湖北影视,http://113.57.103.216:9000/tsfile/live/1016_1.m3u8

湖北影视,http://221.232.105.110:8880/rtp/239.69.1.204:10866
湖北生活,http://58.49.150.227:9901rtsp://111.48.34.138:1554/170000004112/99180001000000060000000000000169
湖北生活,http://221.232.105.110:8880/rtp/239.69.1.205:10872
湖北教育,http://58.49.150.227:9901rtsp://111.48.34.138:1554/170000004112/99180001000000050000000000000519
湖北教育,http://221.232.105.110:8880/rtp/239.69.1.206:10878

武汉一台新闻综合,http://59.173.243.210:9901/tsfile/live/1003_1.m3u8

武汉二台电视剧,http://59.173.243.210:9901/tsfile/live/1038_1.m3u8

武汉三台科技生活,http://59.173.243.210:9901/tsfile/live/1002_1.m3u8


武汉五台文体,http://59.173.243.210:9901/tsfile/live/0119_1.m3u8

武汉六台外语,http://59.173.243.210:9901/tsfile/live/1012_1.m3u8

武汉教育,http://59.173.243.210:9901/tsfile/live/1001_1.m3u8


🎯酒店综合线路,#genre#
武术世界,http://183.236.13.168:808/hls/86/index.m3u8
卡酷卡通,http://183.236.13.168:808/hls/42/index.m3u8
金鹰卡通,http://113.57.103.216:9000/tsfile/live/1000_1.m3u8
金鹰卡通,http://183.236.13.168:808/hls/66/index.m3u8
炫动卡通,http://183.236.13.168:808/hls/67/index.m3u8
BTV卡通,http://113.57.103.216:9000/tsfile/live/1001_1.m3u8
嘉佳卡通,http://183.236.13.168:808/hls/60/index.m3u8
